,"Barens Inc.
113 Meadow Rd, Seneca, PA 16346
4075 Arcadia Lane, Fort Mohave, AZ ",,
Preferred Client Pricing,,,
,, PriceCode , PriceCode 
StockCode,Description, P , *C (Case Qty) 
1286,"Y STRAINER 1/2"" BRASS W/S.S. SCREEN", $9.59 ,  
1287,"Y STRAINER 3/4"" BRASS W/S.S. SCREEN", $13.74 ,  
1288,KIT 07 HEADRINGS, $13.32 ,  
1290,3/4 MALE GARDEN HOSE X 3/8 MPT, $2.79 ,  
1291,(50) ST-1500H OPEN GUN 12 GPM 4000 PSI, $15.43 , $14.62 
1295,"SWIVEL BRASS 3/8"" M/F, 3000PSI, 302F", $10.72 ,  
1296,"METERING VALVE BRASS 1/4""FPT, 4000 PSI", $24.19 ,  
1299,"(20)PA PRESSURE SWITCH 1/4""MPT 15 AMP", $23.24 , $22.01 
1305,"NOZZLE PROTECTOR SLIP-ON 1/4""", $1.46 ,  
1307,"SALZER M225US1A1789-00 110V 20A 1 7/8"" F.P. SINGLE", $55.98 ,  
1308,"SALZER M225US1A1843-00 220V 20A 1 7/8"" F.P. SINGLE", $63.11 ,  
1312,"*Y60080331 BANJO BOLT 3/8"" BSPP VB135", $23.91 ,  
1313,"AWD3030G-K 3GPM 3000PSI 1"" GAS FLANGE", $359.00 ,  
1314,60A RED 1.00 GPH HOLLOW CONE NOZZLE, $7.78 ,  
1315,60A RED 1.20 GPH HOLLOW CONE NOZZLE, $8.24 ,  
1316,60A RED 1.35 GPH HOLLOW CONE NOZZLE, $7.78 ,  
1317,60A RED 1.50 GPH HOLLOW CONE NOZZLE, $7.78 ,  
1318,60A RED 1.75 GPH HOLLOW CONE NOZZLE, $7.78 ,  
1320,60A RED 4.00 GPH HOLLOW CONE NOZZLE, $12.01 ,  
1321,60B BLUE 1.00 GPH SOLID CONE NOZZLE, $8.25 ,  
1322,60B BLUE 1.20 GPH SOLID CONE NOZZLE, $8.25 ,  
1323,60B BLUE 1.25 GPH SOLID CONE NOZZLE, $8.24 ,  
1324,60B BLUE 1.35 GPH SOLID CONE NOZZLE, $8.24 ,  
