Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Enabled AZ Cleaning Supplies,Current Quantity AZ Cleaning Supplies,New Quantity AZ Cleaning Supplies,Stock Alert Enabled AZ Cleaning Supplies,Stock Alert Count AZ Cleaning Supplies,Price AZ Cleaning Supplies,Enabled AZCS,Current Quantity AZCS,New Quantity AZCS,Stock Alert Enabled AZCS,Stock Alert Count AZCS,Price AZCS
,UNLOADER KIT FOR X-3513HAHW,UNLOADER KIT FOR X-3513HAHW,Regular,,850-0252,UNLOADER KIT FOR X-3513HAHW,BE > Equipment,BE,,,,777897231540,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,128.00,BE,850-0252,,,,,,,,,,,,
,STATOR COIL X-HW3513AR/HW3513HAD,STATOR COIL X-HW3513AR/HW3513HAD,Regular,,8500401,STATOR COIL X-HW3513AR/HW3513HAD,BE > Equipment,BE,,,,777897326628,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,95.00,BE,8500401,,,,,,,,,,,,
,"IGNITER COIL, DHS354P FOR SERIAL NUMB AFTER 15074024","IGNITER COIL, DHS354P FOR SERIAL NUMB AFTER 15074024",Regular,,8500413,"IGNITER COIL, DHS354P FOR SERIAL NUMB AFTER 15074024",BE > Equipment,BE,,,,777897231601,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,150.00,BE,8500413,,,,,,,,,,,,
,IGNITER ASSY - 120V W/BRACKET,IGNITER ASSY - 120V W/BRACKET,Regular,,8500426,IGNITER ASSY - 120V W/BRACKET,BE > Equipment,BE,,,,777987339033,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,204.00,BE,8500426,,,,,,,,,,,,
,"CW, STATIONARY, ELEC, 5GPM@3000PSI, 10HP, 1PH 230VAC@46A","CW, STATIONARY, ELEC, 5GPM@3000PSI, 10HP, 1PH 230VAC@46A",Regular,,8530,"CW, STATIONARY, ELEC, 5GPM@3000PSI, 10HP, 1PH 230VAC@46A",BE > Cold Water Equipment,BE,,,,777987385528,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,4496.00,BE,8530,,,,,,,,,,,,
,"CW, STATIONARY, ELEC, 5GPM@3000PSI, 10HP, 3PH 208VAC@28A/230VAC@27A","CW, STATIONARY, ELEC, 5GPM@3000PSI, 10HP, 3PH 208VAC@28A/230VAC@27A",Regular,,8530-3,"CW, STATIONARY, ELEC, 5GPM@3000PSI, 10HP, 3PH 208VAC@28A/230VAC@27A",BE > Cold Water Equipment,BE,,,,777987385535,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,4283.00,BE,8530-3,,,,,,,,,,,,
,"CW, STATIONARY, ELEC, 5GPM@3000PSI, 10HP, 3PH 460VAC@15A","CW, STATIONARY, ELEC, 5GPM@3000PSI, 10HP, 3PH 460VAC@15A",Regular,,8530-3-460,"CW, STATIONARY, ELEC, 5GPM@3000PSI, 10HP, 3PH 460VAC@15A",BE > Cold Water Equipment,BE,,,,777987385542,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,4283.00,BE,8530-3-460,,,,,,,,,,,,
,"OIL CAP, PUMP, AR, RCV/RSV/RRV w/DIP STICK","OIL CAP, PUMP, AR, RCV/RSV/RRV w/DIP STICK",Regular,,880130,"OIL CAP, PUMP, AR, RCV/RSV/RRV w/DIP STICK",BE > Equipment,BE,,,,777897230277,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,13.73,BE,880130,,,,,,,,,,,,
,"SET (6), VALVE ASSY FOR CAT 5DX, 5CP, 66DX PUMPS","SET (6), VALVE ASSY FOR CAT 5DX, 5CP, 66DX PUMPS",Regular,,89910,"SET (6), VALVE ASSY FOR CAT 5DX, 5CP, 66DX PUMPS",BE > Equipment,BE,,,,777897161410,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,131.00,BE,89910,,,,,,,,,,,,
,"PUMP, 12V DELAVAN 1GPM 40 PSI, 3/8""HB PORTS","PUMP, 12V DELAVAN 1GPM 40 PSI, 3/8""HB PORTS",Regular,,90.220.201,"PUMP, 12V DELAVAN 1GPM 40 PSI, 3/8""HB PORTS",BE > Equipment,BE,,,,777897143096,Hidden,Physical,,,,N,N,N,N,,,N,N,N,Y,N,,,55.00,BE,90.220.201,,,,,,,,,,,,
