Row Number,SKU,Item Name,Image Filename,Local Image Absolute Path,Status
113,63026,3/4 x 3/4 MGHT x MPT,63026.png,C:\Codex\AZCS Inventory\Images\Tucker images\63026.png,copied
114,63051,"3/4"" Female x 3/4"" Female GHT Swivel",63051.png,C:\Codex\AZCS Inventory\Images\Tucker images\63051.png,copied
115,63052,"3/4"" Female x 3/4"" Male GHT",63052.png,C:\Codex\AZCS Inventory\Images\Tucker images\63052.png,copied
116,63053,"3/4"" x 2"" Nipple",63053.png,C:\Codex\AZCS Inventory\Images\Tucker images\63053.png,copied
117,63001,3/8 barb x 1/2 male thread,63001.png,C:\Codex\AZCS Inventory\Images\Tucker images\63001.png,copied
118,63002,3/8 barb x 1/4 male thread,63002.png,C:\Codex\AZCS Inventory\Images\Tucker images\63002.png,copied
119,63004,3/8 barb x 3/4 female GHT,63004.png,C:\Codex\AZCS Inventory\Images\Tucker images\63004.png,copied
120,63003,3/8 barb x 3/4 male GHT,63003.png,C:\Codex\AZCS Inventory\Images\Tucker images\63003.png,copied
121,63012,3/8 Male x 3/8 Barb,63012.png,C:\Codex\AZCS Inventory\Images\Tucker images\63012.png,copied
122,62024,3/8 Pipe Thread x 1/2 PTF,62024.png,C:\Codex\AZCS Inventory\Images\Tucker images\62024.png,copied
123,62006,3/8 PTF x 1/4 PTF Reducer,62006.png,C:\Codex\AZCS Inventory\Images\Tucker images\62006.png,copied
124,T-1935,3/8 Swivel for Tucker Reel,T-1935.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-1935.png,copied
125,63011,3/8 x 1/2 PTF GAM,63011.png,C:\Codex\AZCS Inventory\Images\Tucker images\63011.png,copied
126,63030,3/8in Close Nipple,63030.png,C:\Codex\AZCS Inventory\Images\Tucker images\63030.png,copied
127,ECO-30-BARE,30' ECO BARE POLE (no tips included),ECO-30-BARE.png,C:\Codex\AZCS Inventory\Images\Tucker images\ECO-30-BARE.png,copied
128,20054-30-SS,"30"" Stainless Steel Housing",20054-30-SS.png,C:\Codex\AZCS Inventory\Images\Tucker images\20054-30-SS.png,copied
129,T-3/8-300-YL,300 foot Yellow 3/8 Hose with Garden Hose Fittings,,,missing
130,20066-C,30in Carbon Filter Insert,20066-C.png,C:\Codex\AZCS Inventory\Images\Tucker images\20066-C.png,copied
131,20066,30in Filter Insert (EMPTY),20066.png,C:\Codex\AZCS Inventory\Images\Tucker images\20066.png,copied
132,20066-RO,30in Max-Flow Custom RO Membrane,20066-RO.png,C:\Codex\AZCS Inventory\Images\Tucker images\20066-RO.png,copied
