vendor,sku,vendor_code,item_name,image_relative_path,image_absolute_path,match_type,source_folder,details
MPWSR,SW1165HC,SW1165HC,11.0 GPM - 300 PSI Gas Soft Wash Unit with Honda GX200 Engine and Comet P40 Diaphragm Pump,Images\Manatee images\11.0 GPM - 300 PSI Gas Soft Wash Unit with Honda GX200 Engine and Comet P40 Diaphragm Pump.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\11.0 GPM - 300 PSI Gas Soft Wash Unit with Honda GX200 Engine and Comet P40 Diaphragm Pump.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from 11.0 GPM - 300 PSI Gas Soft Wash Unit with Honda GX200 Engine and Comet P40 Diaphragm Pump.
MPWSR,T3004A,T3004A,35 Gal Leg Tank,Images\Manatee images\35 Gallon Leg Tank.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\35 Gallon Leg Tank.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from 35 Gallon Leg Tank.
MPWSR,T4011,T4011,"1"" Super Swivel",Images\Manatee images\1 Super Swivel.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\1 Super Swivel.jpg,manatee_exact_name,Manatee images,"Matched local image on exact normalized name from 1"" Super Swivel."
MPWSR,TDT-SFR-9WB,TDT-SFR-9WB,Silt roller Yellow water based,Images\Manatee images\Silt roller Yellow water based.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Silt roller Yellow water based.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Silt roller Yellow water based.
MPWSR,TG-5000/36,TG-5000/36,Gun wand assembly 36'' insulated wand 4500 psi max 9 gpm max,Images\Manatee images\Gun wand assembly 36'' insulated wand 4500 psi max 9 gpm max.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Gun wand assembly 36'' insulated wand 4500 psi max 9 gpm max.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Gun wand assembly 36'' insulated wand 4500 psi max 9 gpm max.
MPWSR,TL4700,TL4700,"16"" Tank Lid w/ Ring and Vent 3502460",Images\Manatee images\16 Tank Lid w Ring and Vent 3502460.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\16 Tank Lid w Ring and Vent 3502460.jpg,manatee_exact_name,Manatee images,"Matched local image on exact normalized name from 16"" Tank Lid w/ Ring and Vent 3502460."
MPWSR,TNK325,TNK325,325 Poly Leg Tank,Images\Manatee images\325 Gallon Poly Tank.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\325 Gallon Poly Tank.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from 325 Gallon Poly Tank.
MPWSR,TNK325-BS,TNK325-BS,325 Gallon Tank with Bands Assembly,Images\Manatee images\325 Gallon Poly Tank.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\325 Gallon Poly Tank.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from 325 Gallon Poly Tank.
MPWSR,TNK525,TNK525,525 Gallon Poly Tank No Bands,Images\Manatee images\525 Gallon Poly Tank.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\525 Gallon Poly Tank.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from 525 Gallon Poly Tank.
MPWSR,TNK525-BS,TNK525-BS,525 Gal Poly tank with Straps,Images\Manatee images\525 Gallon Poly Tank.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\525 Gallon Poly Tank.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from 525 Gallon Poly Tank.
MPWSR,TNK725,TNK725,725 Gallon Leg Tank with 3 Bands,Images\Manatee images\725 Gallon Leg Tank with 3 Bands.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\725 Gallon Leg Tank with 3 Bands.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from 725 Gallon Leg Tank with 3 Bands.
MPWSR,TP2530J24,TP2530J24,General Pump TP2530 2500 PSI 2.8 GPM,Images\Manatee images\General Pump TP2530 2500 PSI 2.8 GPM.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\General Pump TP2530 2500 PSI 2.8 GPM.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from General Pump TP2530 2500 PSI 2.8 GPM.
MPWSR,TP6505,TP6505,TeeJet 6505 Spray Tip,Images\Manatee images\6505 Brass Spray Tip Teejet.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\6505 Brass Spray Tip Teejet.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from 6505 Brass Spray Tip Teejet.
MPWSR,TP6510,TP6510,6510 Brass spray tip Teejet,Images\Manatee images\6510 Brass Spray Tip Teejet.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\6510 Brass Spray Tip Teejet.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from 6510 Brass spray tip Teejet.
MPWSR,TP6515,TP6515,TeeJet TP 6515 Spray Tip,Images\Manatee images\6515 Brass Spray Tip Teejet.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\6515 Brass Spray Tip Teejet.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from 6515 Brass Spray Tip Teejet.
MPWSR,TP8006E,TP8006E,Tee Jet Brass Even Flat Spray Tip,Images\Manatee images\8006E Teejet Brass Tip Even Flat Spray Tip.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\8006E Teejet Brass Tip Even Flat Spray Tip.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from 8006E Teejet Brass Tip Even Flat Spray Tip.
MPWSR,TROUGHSOLUTION,Trough Solution,Trough Solution Surface cleaner (Ships from Mfg),Images\Manatee images\Trough Solution #24 Surface Cleaner.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Trough Solution #24 Surface Cleaner.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Trough Solution #24 Surface Cleaner.
MPWSR,TS1011GR,TS1011GR,TS1011 with gearbox installed 4.5 GPM 3500psi,Images\Manatee images\TS1011 with gearbox installed 4.5 GPM 3500psi.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\TS1011 with gearbox installed 4.5 GPM 3500psi.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from TS1011 with gearbox installed 4.5 GPM 3500psi.
MPWSR,TS2021,TS2021,General Pump TS2021 5.6gpm @ 3500psi bare pump nickel plated brass manifold,Images\Manatee images\General Pump TS2021 5.6gpm @ 3500psi bare pump nickel plated brass manifold.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\General Pump TS2021 5.6gpm @ 3500psi bare pump nickel plated brass manifold.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from General Pump TS2021 5.6gpm @ 3500psi bare pump nickel plated brass manifold.
MPWSR,TSF2021,TSF2021,GP TSF 2021 bare pump 1750 rpm,Images\Manatee images\TSF2021 Pump General Pump Bare Pump.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\TSF2021 Pump General Pump Bare Pump.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from TSF2021 Pump General Pump Bare Pump.
MPWSR,TSF2221,TSF2221,TSF2221 8.5-10.2GPM @ 3000PSI 1450/1750,Images\Manatee images\TSF2221 Pump General Pump Bare Pump.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\TSF2221 Pump General Pump Bare Pump.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from TSF2221 Pump General Pump Bare Pump.
MPWSR,TSF2421,TSF2421,TSF2421 12GPM @ 3000psi Pump,Images\Manatee images\TSF2421 12GPM @ 3000psi Pump.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\TSF2421 12GPM @ 3000psi Pump.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from TSF2421 12GPM @ 3000psi Pump.
MPWSR,TSS1021,TSS1021,TSS1021 5.5GPM @ 3500psi GP,Images\Manatee images\TSS1021 5.5GPM @ 3500psi GP.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\TSS1021 5.5GPM @ 3500psi GP.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from TSS1021 5.5GPM @ 3500psi GP.
MPWSR,TSS1511,TSS1511,TRIPLEX TS-1511 PUMP 24MM SHAFT 4.0GPM 1450 RPM,Images\Manatee images\TRIPLEX TS-1511 PUMP 24MM SHAFT 4.0GPM 1450 RPM.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\TRIPLEX TS-1511 PUMP 24MM SHAFT 4.0GPM 1450 RPM.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from TRIPLEX TS-1511 PUMP 24MM SHAFT 4.0GPM 1450 RPM.
MPWSR,UC207,UC207,"ULTRACLEAN 19""HC Handle",Images\Manatee images\ULTRACLEAN 19HC Handle.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\ULTRACLEAN 19HC Handle.jpg,manatee_exact_name,Manatee images,"Matched local image on exact normalized name from ULTRACLEAN 19""HC Handle."
MPWSR,UC413WW,UC413WW,Ground Force Caster Bracket,Images\Manatee images\Ground Force Caster Bracket.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Ground Force Caster Bracket.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Ground Force Caster Bracket.
MPWSR,UC414WW,UC414WW,"3"" Caster Wheel for Whisper Wash Surface Cleaners (Ground Force, Maxima, Ultra Clean w/ Wheels, Mini Mondo, and Mondo)",Images\Manatee images\3 Caster Wheel for Whisper Wash Surface Cleaners.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\3 Caster Wheel for Whisper Wash Surface Cleaners.jpg,manatee_exact_name,Manatee images,"Matched local image on exact normalized name from 3"" Caster Wheel for Whisper Wash Surface Cleaners."
MPWSR,UC415HC,UC415HC,"Cover for 19"" HC Ultra clean",Images\Manatee images\Cover for 19 HC Ultra clean.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Cover for 19 HC Ultra clean.jpg,manatee_exact_name,Manatee images,"Matched local image on exact normalized name from Cover for 19"" HC Ultra clean."
MPWSR,UC613HC,UC613HC,"Whisper Wash Ultra Clean 16"" Brush Skirt",Images\Manatee images\Whisper Wash Ultra Clean 16 Brush Skirt.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Whisper Wash Ultra Clean 16 Brush Skirt.jpg,manatee_exact_name,Manatee images,"Matched local image on exact normalized name from Whisper Wash Ultra Clean 16"" Brush Skirt."
MPWSR,UC615HC,UC615HC,"Whisper Wash Ultra Clean 16"" Cover METAL",Images\Manatee images\Whisper Wash Ultra Clean 16 Cover METAL.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Whisper Wash Ultra Clean 16 Cover METAL.jpg,manatee_exact_name,Manatee images,"Matched local image on exact normalized name from Whisper Wash Ultra Clean 16"" Cover METAL."
MPWSR,V-20SPRAYBAR,V-20SPRAYBAR,Viper 20'' surface cleaner spray bar without tips,Images\Manatee images\Viper 20'' surface cleaner spray bar without tips.jpg,C:\Codex\AZCS Inventory\Images\Manatee images\Viper 20'' surface cleaner spray bar without tips.jpg,manatee_exact_name,Manatee images,Matched local image on exact normalized name from Viper 20'' surface cleaner spray bar without tips.
