Matched Master SKU,Matched Item Name,Default Vendor Name,Reporting Category,Catalog Price,Default Unit Cost,Sales Lines,Distinct Sales Items,Quantity Sold,Gross Sales,Discounts,Net Sales,Average Realized Unit Price,First Sale Date,Last Sale Date,Sales Categories Observed,Match Types
RAMP206-WHIP-10,"RAMPAGE BEAST Smooth Gray 3/8"" Double Wire 7300 PSI Whip hose - 10'",MPWSR,MPWSR,38.25,23.50,1,1,1,38.25,0.00,38.25,38.25,2026-03-09,2026-03-09,Manatee,exact_sku
2212,PA ADJ INJECTOR 1.8mm QC KIT (PLUG INLET& SOCKET O,Barrens,Barrens,,23.28,1,1,1,37.50,0.00,37.50,37.50,2025-03-29,2025-03-29,Tools,exact_sku
3795,1/4 MEG 65° 8.0 WASHJET SPRAY NOZZLE,Barrens,Barrens,,5.39,2,1,4,35.00,0.00,35.00,8.75,2025-04-29,2026-03-17,Parts,exact_sku
T-WCT,Wood Cone Tip,Tucker,Tucker,4.31,3.02,3,1,5,34.95,0.00,34.95,6.99,2025-06-18,2026-03-02,Tucker,exact_sku
6629,"GREEN NYLON 10"" WASH BRUSH",Barrens,Barrens,,21.55,1,1,1,32.75,0.00,32.75,32.75,2025-11-07,2025-11-07,Tools,exact_sku
RAMP208-WHIP-4,"RAMPAGE BEAST Smooth Gray 1/2"" Double Wire 6200 PSI Whip hoses - 4' hose",MPWSR,MPWSR,31.50,19.50,1,1,1,31.50,0.00,31.50,31.50,2025-11-07,2025-11-07,Manatee,exact_sku
6791,BRASS NOZZLE UNCLOGGER TOOL,Barrens,Barrens,,6.66,2,1,2,31.00,0.00,31.00,15.50,2025-04-26,2026-01-12,Tools,exact_sku
T-EURO-TIP-PLASTIC,Tucker® Euro Tip,Tucker,Tucker,7.56,5.30,1,1,3,30.00,0.00,30.00,10.00,2026-03-02,2026-03-02,Tucker,exact_sku
2211,PA ADJ INJECTOR 2.3mm 5-8 GPM,Barrens,Barrens,,16.83,1,1,1,30.00,0.00,30.00,30.00,2025-04-08,2025-04-08,Parts,exact_sku
1771,1/4 MEG 40° 3.5 WASHJET SPRAY NOZZLE,Barrens,Barrens,,5.39,1,1,4,30.00,0.00,30.00,7.50,2025-09-12,2025-09-12,Parts,exact_sku
1125,1/4 MEG 25° 3.5 WASHJET SPRAY NOZZLE,Barrens,Barrens,,5.39,2,1,4,30.00,0.00,30.00,7.50,2025-04-07,2025-05-30,Parts,exact_sku
63009,"1/2"" FNPT x FGH Swivel Inlet",Tucker,Tucker,13.67,9.57,1,1,2,28.24,0.00,28.24,14.12,2025-04-07,2025-04-07,Tucker,exact_sku
5979,"SWIVEL KIT FOR COX 439 1/2"" X 3/8"" SWIVEL",Barrens,Barrens,,6.25,2,1,2,27.74,0.00,27.74,13.87,2025-07-16,2025-12-30,Parts,exact_sku
5030,"STEEL 45 DEG ELBOW 3/8"" FPT 4000 PSI",Barrens,Barrens,,4.92,2,1,3,25.50,0.00,25.50,8.50,2025-04-25,2025-05-14,Parts,exact_sku
5990,"9145 PLUNGER PACKING KIT 20MM, P318",Barrens,Barrens,,55.98,1,1,1,24.50,0.00,24.50,24.50,2025-06-02,2025-06-02,Parts,exact_code
5907,"4000 PSI 3/8""x5' WHIP LINE M/MS",Barrens,Barrens,,24.21,1,1,1,23.50,0.00,23.50,23.50,2026-02-25,2026-02-25,Parts,exact_sku
1559,"INLINE GAS FILTER 5/16"" CLEAR PLASTIC",Barrens,Barrens,,3.80,3,1,4,22.25,-1.50,20.75,5.19,2025-03-21,2025-09-23,Parts,exact_sku
2370,GP 1/8 MPT 25° 3.0 SPRAY NOZZLE,Barrens,Barrens,,3.71,1,1,4,20.00,0.00,20.00,5.00,2026-01-12,2026-01-12,Parts,exact_sku
1146,1/4 MEG 15° 4.0 WASHJET SPRAY NOZZLE,Barrens,Barrens,,5.39,1,1,2,20.00,0.00,20.00,10.00,2026-02-18,2026-02-18,Parts,exact_sku
1398,"AL352 SQUARE MOLDED GRIP 12"" LANCE",Barrens,Barrens,,10.35,1,1,1,18.50,0.00,18.50,18.50,2025-05-16,2025-05-16,Tools,exact_sku
20026,2.5in x 10in Carbon Filter,Tucker,Tucker,16.39,11.48,1,1,1,18.16,0.00,18.16,18.16,2025-06-10,2025-06-10,Tucker,exact_sku
540486,1/2 X 3/8 HEX NIPPLE,MPWSR,MPWSR,3.79,2.57,1,1,2,15.00,0.00,15.00,7.50,2025-12-04,2025-12-04,Manatee,exact_sku
