"VariantBase","ItemName","Action","KeptSku","SKU","Vendor","Price","DefaultUnitCost"
"SQUEEGEE FIXED HANDLE QUICKSILVER CHANNEL","Complete Squeegee w/ Fixed Handle & Quicksilver Channel - 10""","DROP","SORBO-SQ18-FXD","SORBO-SQ10-FXD","Tucker","25.82","18.08"
"SQUEEGEE FIXED HANDLE QUICKSILVER CHANNEL","Complete Squeegee w/ Fixed Handle & Quicksilver Channel - 14""","DROP","SORBO-SQ18-FXD","SORBO-SQ14-FXD","Tucker","28.30","19.81"
"SQUEEGEE FIXED HANDLE QUICKSILVER CHANNEL","Complete Squeegee w/ Fixed Handle & Quicksilver Channel - 6""","DROP","SORBO-SQ18-FXD","SORBO-SQ6-FXD","Tucker","23.02","16.12"
"SQUEEGEE SWIVEL HANDLE QUICKSILVER CHANNEL","Complete Squeegee w/ Swivel Handle & Quicksilver Channel - 18""","KEEP","SORBO-SQ18-SWV","SORBO-SQ18-SWV","Tucker","52.53","36.78"
"SQUEEGEE SWIVEL HANDLE QUICKSILVER CHANNEL","Complete Squeegee w/ Swivel Handle & Quicksilver Channel - 10""","DROP","SORBO-SQ18-SWV","SORBO-SQ10-SWV","Tucker","47.54","33.28"
"SQUEEGEE SWIVEL HANDLE QUICKSILVER CHANNEL","Complete Squeegee w/ Swivel Handle & Quicksilver Channel - 14""","DROP","SORBO-SQ18-SWV","SORBO-SQ14-SWV","Tucker","50.01","35.01"
"SQUEEGEE SWIVEL HANDLE QUICKSILVER CHANNEL","Complete Squeegee w/ Swivel Handle & Quicksilver Channel - 6""","DROP","SORBO-SQ18-SWV","SORBO-SQ6-SWV","Tucker","44.74","31.32"
"SS COUPLER FPT","304SS COUPLER 1"" FPT 150#","KEEP","5764","5764","Barrens","22.99","16.83"
"SS COUPLER FPT","304SS COUPLER 1/4 FPT 150#","DROP","5764","5214","Barrens","6.99","4.88"
"SS COUPLER FPT","304SS COUPLER 3/8 FPT 150#","DROP","5764","5215","Barrens","9.99","6.21"
"SS COUPLER FPT","304SS COUPLER 1/2 FPT 150#","DROP","5764","5216","Barrens","9.99","6.72"
"SS COUPLER FPT","304SS COUPLER 3/4 FPT 150#","DROP","5764","5763","Barrens","11.99","8.75"
"SS CROSS FPT","304SS CROSS 1/2 FPT 150#","KEEP","5785","5785","Barrens","25.99","18.88"
"SS CROSS FPT","304SS CROSS 1/4"" FPT 150#","DROP","5785","5783","Barrens","17.99","12.97"
