SKU,Item Name,Category,Category Folder,Image Filename,Image Absolute Path
T-27-CF-4-WC,#4 Section for SOLAR BOOSTw/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-27-CF-4-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-27-CF-4-WC.png
T-22-FG-5-WC,#5 Base Section for BRAVOw/ clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-22-FG-5-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-22-FG-5-WC.png
T-30-FG-5-WC,#5 Base Section for ECO 30w/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-30-FG-5-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-30-FG-5-WC.png
T-50-HM-5-WC,#5 Section for 50HMw/ clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-50-HM-5-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-HM-5-WC.png
T-40-CF-5-WC,#5 Section for ECO 40w/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-40-CF-5-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-40-CF-5-WC.png
T-27-CF-5-WC,#5 Section for SOLAR BOOSTw/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-27-CF-5-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-27-CF-5-WC.png
T-50-HM-6-WC,#6 Section for 50HMw/ clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-50-HM-6-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-HM-6-WC.png
T-40-CF-6-WC,#6 Section for ECO 40w/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-40-CF-6-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-40-CF-6-WC.png
T-27-CF-6-WC,#6 Section for SOLAR BOOSTw/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-27-CF-6-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-27-CF-6-WC.png
T-40-FG-7-WC,#7 Base Section for ECO 40w/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-40-FG-7-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-40-FG-7-WC.png
T-27-FG-7-WC,#7 Base Section for SOLAR BOOSTw/ Clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-27-FG-7-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-27-FG-7-WC.png
T-50-HM-7-WC,#7 Section for 50HMw/ clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-50-HM-7-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-HM-7-WC.png
T-50-HM-8-WC,#8 Section for 50HMw/ clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-50-HM-8-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-HM-8-WC.png
T-50-FG-9-WC,#9 Base Section for 50HMw/ clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-50-FG-9-WC.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-FG-9-WC.png
T-9CFWC-50,#9 HM Section for 50' HM w/ clamp,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-9CFWC-50.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-9CFWC-50.jpeg
TUCKER-BRAVO,(BRAVO) Tucker® 22' Hybrid Pole,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,TUCKER-BRAVO.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\TUCKER-BRAVO.jpeg
11016,H2pro Frame,Tucker > Pure Water Systems,Pure Water Systems,11016.png,C:\Codex\AZCS Inventory\Images\Tucker images\11016.png
T-SIDEKICK,(SIDEKICK) Tucker® 6' TRAD Pole,Tucker > Water Fed Pole Parts,Water Fed Pole Parts,T-SIDEKICK.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-SIDEKICK.png
T-50-DEL-DU,50 Gallon Delivery System Dual User,Tucker > Pure Water Systems,Pure Water Systems,T-50-DEL-DU.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-DEL-DU.jpeg
T-50-DEL-SU,50 Gallon Delivery System Single User,Tucker > Pure Water Systems,Pure Water Systems,T-50-DEL-SU.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-DEL-SU.jpeg
T-50-PRO-DU-150,Spot Free RO/DI 50 Gallon Dual User 150,Tucker > Pure Water Systems,Pure Water Systems,T-50-PRO-DU-150.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-PRO-DU-150.jpeg
T-50-PRO-SU-150,Spot Free RO/DI 50 Gallon Single User 150,Tucker > Pure Water Systems,Pure Water Systems,T-50-PRO-SU-150.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-PRO-SU-150.jpeg
12003-A,0-160 psi Pressure Gauge Liquid Filled,Tucker > Accessories,Accessories,12003-A.png,C:\Codex\AZCS Inventory\Images\Tucker images\12003-A.png
20007,1 cubic foot of Tucker DI resin in Bucket,Tucker > Pure Water Systems,Pure Water Systems,20007.png,C:\Codex\AZCS Inventory\Images\Tucker images\20007.png
60027-10,1/2 Black Tubing (per 10 foot length),Tucker > Catalog,Catalog,60027-10.png,C:\Codex\AZCS Inventory\Images\Tucker images\60027-10.png
63016,1/2 Brass Nipple Close,Tucker > Catalog,Catalog,63016.png,C:\Codex\AZCS Inventory\Images\Tucker images\63016.png
63017,1/2 Brass Plug,Tucker > Catalog,Catalog,63017.png,C:\Codex\AZCS Inventory\Images\Tucker images\63017.png
63005,1/2 Brass Street Elbow,Tucker > Accessories,Accessories,63005.png,C:\Codex\AZCS Inventory\Images\Tucker images\63005.png
63020,1/2 Brass Tee,Tucker > Accessories,Accessories,63020.png,C:\Codex\AZCS Inventory\Images\Tucker images\63020.png
20007.5,1/2 cubic foot of Tucker DI resin in Bucket,Tucker > Pure Water Systems,Pure Water Systems,20007.5.png,C:\Codex\AZCS Inventory\Images\Tucker images\20007.5.png
62027,1/2 Elbow Threaded BRASS (FNPT),Tucker > Accessories,Accessories,62027.png,C:\Codex\AZCS Inventory\Images\Tucker images\62027.png
12032-ELBOW,1/2 femail ptf to 1/2 male ptf elbow,Tucker > Accessories,Accessories,12032-ELBOW.png,C:\Codex\AZCS Inventory\Images\Tucker images\12032-ELBOW.png
63009,1/2 female x 3/4 female GHT,Tucker > Catalog,Catalog,63009.png,C:\Codex\AZCS Inventory\Images\Tucker images\63009.png
63010,1/2 female x 3/4 male GHT,Tucker > Catalog,Catalog,63010.png,C:\Codex\AZCS Inventory\Images\Tucker images\63010.png
62039,1/2 FNPT Line Strainer 80mesh,Tucker > Catalog,Catalog,62039.png,C:\Codex\AZCS Inventory\Images\Tucker images\62039.png
12023,1/2 hp Motor Dual Phase,Tucker > Catalog,Catalog,12023.png,C:\Codex\AZCS Inventory\Images\Tucker images\12023.png
62002-M,1/2 male thread x 1/2 PTF Metal,Tucker > Catalog,Catalog,62002-M.png,C:\Codex\AZCS Inventory\Images\Tucker images\62002-M.png
62002-P,1/2 male thread x 1/2 PTF Plastic,Tucker > Catalog,Catalog,62002-P.png,C:\Codex\AZCS Inventory\Images\Tucker images\62002-P.png
63008,1/2 male thread x 3/4 male GHT Brass,Tucker > Catalog,Catalog,63008.png,C:\Codex\AZCS Inventory\Images\Tucker images\63008.png
62028,1/2 Male Thread x 3/8 PTF,Tucker > Catalog,Catalog,62028.png,C:\Codex\AZCS Inventory\Images\Tucker images\62028.png
62013,1/2 male x 3/8 ptf elbow reducer GAM,Tucker > Accessories,Accessories,62013.png,C:\Codex\AZCS Inventory\Images\Tucker images\62013.png
63032,1/2 MPT X FGH Swivel,Tucker > Catalog,Catalog,63032.png,C:\Codex\AZCS Inventory\Images\Tucker images\63032.png
62035,1/2 NPT x 1/2 Barb,Tucker > Catalog,Catalog,62035.png,C:\Codex\AZCS Inventory\Images\Tucker images\62035.png
62003,1/2 Plug for PTF,Tucker > Catalog,Catalog,62003.png,C:\Codex\AZCS Inventory\Images\Tucker images\62003.png
62038,1/2 PTF Bulkhead,Tucker > Catalog,Catalog,62038.png,C:\Codex\AZCS Inventory\Images\Tucker images\62038.png
62004,1/2' PTF Tee Fitting,Tucker > Accessories,Accessories,62004.png,C:\Codex\AZCS Inventory\Images\Tucker images\62004.png
62018,1/2 x 1/2 PTF 90deg Elbow,Tucker > Accessories,Accessories,62018.png,C:\Codex\AZCS Inventory\Images\Tucker images\62018.png
62005-TH,1/2 x 1/2 Tee w/ 1/4 female thread,Tucker > Accessories,Accessories,62005-TH.png,C:\Codex\AZCS Inventory\Images\Tucker images\62005-TH.png
